Id_Prova,Nome_Prova,Abreviacao_Prova,Ano_Jogo,Sprint
118,"Italia","ITA",2022,"N"
119,"Mexico","MEX",2022,"N"
120,"Portimao","POR",2022,"N"
121,"Brasil","BRA",2022,"S"
147,"Inglaterra","ING",2023,"N"
153,"Las Vegas","VEG",2023,"N"
1,"Australia","AUS",2017,"N"
2,"China","CHN",2017,"N"
3,"Bahrein","BAH",2017,"N"
4,"Russia","RUS",2017,"N"
5,"Espanha","ESP",2017,"N"
6,"Monaco","MON",2017,"N"
7,"Canada","CAN",2017,"N"
13,"Italia","ITA",2017,"N"
14,"Cingapura","CIN",2017,"N"
15,"Malasia","MAL",2017,"N"
16,"Japao","JAP",2017,"N"
17,"EUA","EUA",2017,"N"
18,"Mexico","MEX",2017,"N"
19,"Brasil","BRA",2017,"N"
20,"Abu Dhabi","ABU",2017,"N"
21,"Australia","AUS",2018,"N"
22,"Bahrein","BAH",2018,"N"
23,"China","CHI",2018,"N"
24,"Azerbaijão","AZE",2018,"N"
25,"Espanha","ESP",2018,"N"
26,"Monaco","MON",2018,"N"
27,"Canada","CAN",2018,"N"
28,"França","FRA",2018,"N"
29,"Austria","AUT",2018,"N"
30,"Inglaterra","ING",2018,"N"
31,"Alemanha","ALE",2018,"N"
32,"Hungria","HUN",2018,"N"
33,"Belgica","BEL",2018,"N"
34,"Italia","ITA",2018,"N"
35,"Cingapura","CIN",2018,"N"
36,"Russia","RUS",2018,"N"
37,"Japao","JAP",2018,"N"
38,"EUA","EUA",2018,"N"
39,"Mexico","MEX",2018,"N"
40,"Brasil","BRA",2018,"N"
41,"Abu Dhabi","ABU",2018,"N"
42,"Australia","AUS",2019,"N"
43,"Bahrein","BAH",2019,"N"
44,"China","CHI",2019,"N"
45,"Azerbaijão","AZE",2019,"N"
46,"Espanha","ESP",2019,"N"
47,"Monaco","MON",2019,"N"
48,"Canadá","CAN",2019,"N"
49,"França","FRA",2019,"N"
50,"Austria","AUT",2019,"N"
51,"Inglaterra","ING",2019,"N"
52,"Alemanha","ALE",2019,"N"
53,"Hungria","HUN",2019,"N"
54,"Belgica","BEL",2019,"N"
55,"Italia","ITA",2019,"N"
56,"Cingapura","CIN",2019,"N"
57,"Russia","RUS",2019,"N"
58,"Japão","JAP",2019,"N"
59,"Mexico","MEX",2019,"N"
60,"Estados Unidos","EUA",2019,"N"
61,"Brasil","BRA",2019,"N"
62,"Abu Dhabi","ABU",2019,"N"
63,"Austrália","AUS",2020,"N"
64,"Bahrein","BAH",2020,"N"
65,"Vietna","HAN",2020,"N"
66,"China","CHI",2020,"N"
67,"Holanda","HOL",2020,"N"
68,"Espanha","ESP",2020,"N"
69,"Monaco","MON",2020,"N"
70,"Azerbaijão","AZE",2020,"N"
71,"Canadá","CAN",2020,"N"
72,"França","FRA",2020,"N"
73,"Austria","AUT",2020,"N"
74,"Inglarerra","ING",2020,"N"
75,"Hungria","HUN",2020,"N"
76,"Bélgica","BEL",2020,"N"
77,"Itália","ITA",2020,"N"
78,"Cingapura","CIN",2020,"N"
79,"Rússia","RUS",2020,"N"
80,"Japão","JAP",2020,"N"
81,"Estados Unidos","EUA",2020,"N"
82,"México","MEX",2020,"N"
83,"Brasil","BRA",2020,"N"
84,"Abu Dhabi","ABU",2020,"N"
86,"Emilia-Romagna","IMO",2021,"N"
87,"Portugal","POR",2021,"N"
88,"Espanha","ESP",2021,"N"
89,"Monaco","MON",2021,"N"
91,"Canadá","CAN",2021,"N"
92,"França","FRA",2021,"N"
93,"Austria","AUT",2021,"N"
94,"Inglaterra","ING",2021,"N"
96,"Belgica","BEL",2021,"N"
97,"Holanda","HOL",2021,"N"
98,"Italia","ITA",2021,"N"
99,"Russia","RUS",2021,"N"
101,"Japão","JAP",2021,"N"
102,"Mexico","MEX",2021,"N"
103,"Brasil","BRA",2021,"N"
105,"Arabia Saudita","ARA",2021,"N"
8,"Azerbaijão","AZE",2017,"N"
9,"Austria","AUT",2017,"N"
10,"Inglaterra","ING",2017,"N"
11,"Hungria","HUN",2017,"N"
12,"Belgica","BEL",2017,"N"
