Id_Pole,Id_Piloto,Ano_jogo,Temporada,Prova1,Prova2,Prova3,Prova4,Prova5,Prova6,Prova7,Prova8,Prova9,Prova10,Prova11,Prova12,Prova13,Prova14,Prova15,Prova16,Prova17,Prova18,Prova19,Prova20,Prova21,Prova22,Prova23,Prova24,Prova25,Tipo_Carreira
40,,2023,5,167,176,176,167,167,176,167,167,176,156,176,160,159,162,157,156,,,,,,,,,,"Piloto"
41,,2023,6,162,176,156,161,176,162,163,167,161,159,171,171,154,176,171,161,,,,,,,,,,"Piloto"
42,,2023,7,178,176,176,171,180,176,162,176,176,159,178,176,159,156,176,176,,,,,,,,,,"Piloto"
43,,2023,8,162,162,178,156,176,171,163,163,156,,,,,,,,,,,,,,,,,"Piloto"
44,,2024,1,186,186,186,194,186,186,186,186,186,194,186,186,191,188,186,194,,,,,,,,,,"Piloto"
45,,2024,2,186,186,195,186,198,190,194,194,206,188,188,188,190,206,206,206,,,,,,,,,,"Piloto"
46,,2024,3,198,198,206,206,206,198,206,186,206,206,206,188,206,186,186,206,,,,,,,,,,"Piloto"
47,,2024,4,206,192,186,206,206,206,192,206,195,206,206,206,206,188,189,206,,,,,,,,,,"Piloto"
48,,2024,5,188,189,206,206,206,188,189,206,206,192,188,188,206,191,194,206,,,,,,,,,,"Piloto"
21,,2019,9,63,63,52,47,63,63,63,63,47,63,53,63,63,63,63,63,63,63,63,52,65,,,,,"Piloto"
49,,2024,6,191,206,206,191,206,206,206,199,194,206,206,191,206,191,206,206,,,,,,,,,,"Piloto"
50,,2024,7,206,206,206,206,206,188,206,206,206,206,206,206,206,195,206,206,,,,,,,,,,"Piloto"
51,,2024,8,206,189,189,206,206,189,206,189,204,206,189,189,189,189,189,204,,,,,,,,,,"Piloto"
52,,2024,9,206,188,206,204,206,204,206,206,206,204,204,206,,,,,,,,,,,,,,"Piloto"
53,,2025,1,215,223,224,215,223,215,218,215,223,217,223,217,223,215,223,219,,,,,,,,,,"Piloto"
54,,2025,2,223,217,223,223,223,223,215,223,223,217,217,217,223,223,217,224,,,,,,,,,,"Piloto"
55,,2025,3,215,235,223,215,235,224,235,235,223,223,217,217,223,215,217,215,,,,,,,,,,"Piloto"
56,,2025,4,215,235,223,235,235,217,224,235,224,235,215,215,217,217,224,235,,,,,,,,,,"Piloto"
57,,2025,5,223,217,217,215,235,217,235,223,217,235,235,217,235,217,235,235,,,,,,,,,,"Piloto"
58,,2025,6,235,217,235,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
20,,2019,8,64,47,64,65,63,63,63,53,65,64,64,65,63,44,64,63,44,53,63,53,63,,,,,"Piloto"
19,,2019,7,63,57,65,63,58,63,63,63,43,63,44,63,44,63,47,63,65,63,58,47,65,,,,,"Piloto"
18,,2019,6,63,43,64,53,57,63,44,57,63,53,64,64,63,64,64,63,46,63,63,63,63,,,,,"Piloto"
17,,2019,5,44,48,46,63,46,46,63,48,57,65,57,43,44,63,46,63,65,63,48,63,43,,,,,"Piloto"
16,,2019,4,52,43,43,63,60,60,43,44,48,63,46,43,48,63,45,63,44,63,44,63,63,,,,,"Piloto"
15,,2019,3,52,46,43,46,45,63,43,43,52,43,52,65,63,63,65,63,46,63,43,65,43,,,,,"Piloto"
14,,2019,2,43,44,45,43,63,44,43,45,43,44,46,63,63,63,52,63,58,63,63,58,44,,,,,"Piloto"
13,,2019,1,45,43,45,45,45,45,43,45,44,63,45,45,46,43,48,44,43,45,43,43,46,,,,,"Piloto"
12,,2018,8,22,42,42,25,28,38,22,42,,,,,,,,,,,,,,,,,,"Piloto"
11,,2018,7,42,22,42,25,38,25,42,25,42,42,42,38,25,42,42,42,42,22,42,42,42,,,,,"Piloto"
10,,2018,6,36,39,22,23,27,26,38,42,39,32,38,32,22,42,25,42,42,25,26,28,42,,,,,"Piloto"
9,,2018,5,27,24,42,28,42,27,42,24,42,42,25,32,24,42,27,25,24,36,42,39,,,,,,"Piloto"
8,,2018,4,24,24,42,25,22,23,42,42,42,22,37,27,42,23,42,42,42,42,42,27,42,,,,,"Piloto"
7,,2018,3,42,42,27,25,24,25,42,27,24,24,22,23,24,24,42,24,42,42,27,42,32,,,,,"Piloto"
6,,2018,1,23,23,25,24,22,24,23,24,26,22,26,23,24,25,22,22,22,22,42,42,23,,,,,"Piloto"
5,,2018,2,27,24,42,22,42,27,42,40,42,22,24,42,42,42,42,42,42,42,24,27,22,,,,,"Piloto"
4,,2017,4,2,4,3,3,4,,,,,,,,,,,,,,,,,,,,,"Piloto"
3,,2017,3,1,1,3,1,1,1,3,1,2,2,3,2,4,2,3,1,2,1,1,3,,,,,,"Piloto"
2,,2017,2,4,4,1,1,3,4,1,1,1,3,1,1,4,4,3,3,1,2,1,2,,,,,,"Piloto"
1,,2017,1,8,1,1,3,4,10,3,3,4,2,3,4,3,4,3,3,12,3,2,1,,,,,,"Piloto"
